item_name,list_price,unit_cost,stock_code,vat_rate,supplier_code
Agros 3 fruits juice 100% 250ml (Pack of 27),18.63,12.15,AG019-27,UK Standard Rate,
Apple juice 100% 250ml  (Pack of 27),17.55,12.15,AG021-27,UK Standard Rate,
Peach nectar juice 250ml  (Pack of 27),16.2,12.15,AG023-27,UK Standard Rate,
Pomegranate nectar 250ml  (Pack of 27),18.63,12.15,AG025-27,UK Standard Rate,
Orange juice 100% 250ml  (Pack of 27),18.63,12.15,AG027-27,UK Standard Rate,
Sour cherry drink 250ml  (Pack of 27),18.63,12.15,AG029-27,UK Standard Rate,
Pineapple juice 100% 1Lt  (Pack of 12),18,11.88,AG031-27,UK Standard Rate,
Strawberry juice drink 1Lt  (Pack of 12),18,11.88,AG033-12,UK Standard Rate,
Grape juice 100% 1Lt  (Pack of 12),18,11.88,AG035-12,UK Standard Rate,
Babatzim ouzo 200ml  (Box of 24),179.76,156,AS001-24,UK Standard Rate,
Babatzim ouzo 700ml  (Box of 6),117.96,96,AS003-6,UK Standard Rate,
Babatzim tsipouro without anise 200ml  (Box of 24),198,168,AS005-24,UK Standard Rate,
Babatzim tsipouro without anise 700ml  (Box of 6),124.5,108,AS007-6,UK Standard Rate,
Alfa beer 5% vol. 330ml  (Box of 24),39.84,23.52,AS009-24,UK Standard Rate,
Dekaraki tsipouro without anise 700ml  (Box of 6),126,114,AS011-6,UK Standard Rate,
Kourtaki retsina 12% vol. 750ml  (Box of 6),43.2,36,AS013-6,UK Standard Rate,
KEO Aphrodite White 750ml  (Box of 6),53.94,43.8,AS015-6,UK Standard Rate,
KEO Othello Red 750ml  (Box of 6),53.94,43.8,AS017-6,UK Standard Rate,
KEO St. Panteleimon 750ml white  (Box of 6),53.94,43.8,AS019-6,UK Standard Rate,
"KEO beer 4,5% vol. 330ml  (Box of 24)",39.84,34.56,AS021-24,UK Standard Rate,
KEO Zivania 500ml  (Box of 6),131.94,108,AS023-6,UK Standard Rate,
LOEL Zivania 200ml (Box of 24),251.76,216,AS025-24,UK Standard Rate,
LOEL Zivania 500ml  (Box of 12),263.88,216,AS027-12,UK Standard Rate,
Metaxa brandy 5 stars 700ml  (Box of 6),137.9,120,AS039-6,UK Standard Rate,
"KEO beer 4,5% vol. 630ml (Box of 6)",20.3,14.7,AS060-6,UK Standard Rate,
KEO St. Panteleimon red 750ml  (Box of 6),53.94,43.8,AS057-6,UK Standard Rate,
FIX Hellas BEER 330ml  (Box of 20),39.8,26,AS054-20,UK Standard Rate,
Dios mineral water 500ml  (Pack of 24),11,4.8,DI001-24,UK Standard Rate,
"Naoussea, Red wine 13.5% vol.750ml",16.7,0,FO001,UK Standard Rate,S00-83
"Naoussea, Red wine 13,5% vol. 750ml  (Box of 6)",90.78,0,FO001-6,UK Standard Rate,
"Trygias Foundi, white wine 12% vol. 750ml",16.7,0,FO003,UK Standard Rate,S00-83
"Trygias Foundi, White wine 12% vol. 750ml  (Box of 6)",90.78,0,FO003-6,UK Standard Rate,
Loux orange drink 330ml  (Pack of 12),8.49,5.4,LOUX01-12,UK Standard Rate,
Loux lemonade drink 330ml  (Pack of 12),8.49,5.4,LOUX03-12,UK Standard Rate,
Loux sour cherry drink 330ml  (Pack of 12),9.49,5.88,LOUX05-12,UK Standard Rate,
Loux soda 330ml  (Pack of 12),8.2,4.2,LOUX07-12,UK Standard Rate,
Loux gazoza drink with lemon and lime 330ml  (Pack of 12),8.49,5.4,LOUX09-12,UK Standard Rate,
Loux cola 330ml  (Pack of 12),8.49,5.4,LOUX13-12,UK Standard Rate,
Papadopoulos biscotello with cocoa cream 200g  (box of 12),20.9,16.2,EB039-12,UK Standard Rate,
Green Cola 330ml  (pack of 24),23.5,14.64,EFB01-24,UK Standard Rate,
ION Derby bar 38g  (Box of 20),13,9,EB040-20,UK Standard Rate,
ION Derby bar with caramel 38g  (Box of 20),13,9,EB015-20,UK Standard Rate,
ION Derby bar with white chocolate 38g  (Box of 20),13,9,EB016-20,UK Standard Rate,
ION Chocofreta milk chocolate bar with hazelnuts 38g  (Box of 20),13,9,EB012-20,UK Standard Rate,
"ION Chocofreta milk chocolate covered wafer, gluten free 38g  (Box of 20)",13,9,EB041-20,UK Standard Rate,
ION Chocofreta with white chocolate 38g  (Box of 20),13,9,EB042-20,UK Standard Rate,
ION Milk chocolate bar 100g  (Box of 10),19,15.5,EB043-10,UK Standard Rate,
ION Milk chocolate bar with almonds 100g  (Box of 10),20,15.5,EB022-10,UK Standard Rate,
"Askos bag, White dry wine 11% vol. 5Lt  (Box of 4)",140,112,VA001-4,UK Standard Rate,
"Askos bag, Rose demi wine 11% vol. 5Lt  (Box of 4)",140,112,VA003-4,UK Standard Rate,
"Askos bag, Red dry wine 11% vol. 5Lt  (Box of 4)",140,112,VA005-4,UK Standard Rate,
"Askos bag, Retsina 11% vol. 5Lt  (Box of 4)",140,112,VA007-4,UK Standard Rate,
Chrisanthi Retsina 11% vol. 500ml  (Box of 15),75,49.5,VA009-15,UK Standard Rate,
"Alexander the Great, White dry 11% vol. 750ml  (Box of 12)",76.46,59.4,VA011-12,UK Standard Rate,
"Alexander the Great, Red dry 11% vol. 750ml  (Box of 12)",76.46,59.4,VA013-12,UK Standard Rate,
"Damascenos, Red dry 13% vol. 750ml  (Box of 6)",68.4,64.2,VA029-6,UK Standard Rate,
"Vaeni Naoussa, red xinomavro 12.5% vol.750ml",8.4,0,VA017,UK Standard Rate,
"Naoussa, Red xinomavro 12,5% vol. 750ml  (Box of 6)",53.5,0,VA017-6,UK Standard Rate,
"Vaeni Socrates, White Semi-dry wine 11.5% vol. 750ml",9.05,0,VA019,UK Standard Rate,S00-52
"Socrates, White Semi-dry wine 11,5% vol. 750ml  (Box of 6)",54.3,0,VA019-6,UK Standard Rate,
Vaeni Makedonikos White 750 ml  (box of 6),54,41.4,VA024-6,UK Standard Rate,
Vaeni Makedonikos Rose 750 ml  (box of 6),54,41.4,VA025-6,UK Standard Rate,
Vaeni Makedonikos Red 750 ml  (box of 6),54,41.4,VA026-6,UK Standard Rate,
Green hot pepper sauce 700ml  (Pack of 6),65.4,47.4,VAR007-6,UK Standard Rate,
Vergina Beer Alcohol Free 0.33lt  (Box of 24),37.2,22.8,VER009-24,UK Standard Rate,
Vergina beer 5% vol. 330ml  (Box of 24),39.84,21.6,VER001-24,UK Standard Rate,
Tuvunu Greek mountain tea 330ml  (Pack of 24),17.5,12.48,VER003-24,UK Standard Rate,
Orange drink 1Lt  (Pack of 12),16.8,10.2,AG009-12,UK Standard Rate,
"Mythos beer 4,7% vol. 500ml",2.9,0,AS063,UK Standard Rate,S00-49
"Mythos beer 4,7% vol. 500ml  (box of 12)",35,0,AS063-12,UK Standard Rate,
Alfa beer 5% vol. 500ml,2.55,0,AS064,UK Standard Rate,S00-49
Alfa beer 5% vol. 500ml (box of 16),40.5,0,AS064- 16,UK Standard Rate,
ION NUCREMA cocoa spread with hazelnuts and milk 400g  (Box of 12),34.9,33,EB017-12,UK Standard Rate,
ION milk chocolate bar with whole hazelnuts 100g  (Box of 10),20,15.5,EB023-10,UK Standard Rate,
ION Break milk chocolate bar 85g  (Box of 12),24,18.6,EB024-12,UK Standard Rate,
"ION Break milk chocolate bar with rasins, almonds and hazelnuts 85g  (Box of 12)",24,18.6,EB025-12,UK Standard Rate,
ION Chocofreta chocolate wafer bar 38g(Box of 20),13,9,EB027-20,UK Standard Rate,
"ION Break white chocolate bar with rasins, almonds and hazelnuts 85g  (Box of 12)",24,18.6,EB044-12,UK Standard Rate,
ION Noisetta bag 440g  (Box of 12),106.8,86.4,EB046-12,UK Standard Rate,
ION Dark classic chocolate bar 90g  (Box of 10),22,14.5,EB052-10,UK Standard Rate,
ION Break milk chocolate bar with hazelnuts 85g  (Box of 12),24,18.6,EB054-12,UK Standard Rate,
ION Chocofreta milk chocolate bar with strawberry 38g  (Box of 20),13,9,EB014-20,UK Standard Rate,
Merenda chocolate and hazelnut spread 360g  (Box of 12),59.95,30.6,MOND038-12,UK Standard Rate,
KEO Zivania 200ml,9.9,0,AS053,UK Standard Rate,S00-49
Shipping & Handling Cost,12.5,0,SC001,UK Standard Rate,
Vergina Beer Can 500ml,1.74,0,VER0011,UK Standard Rate,S00-30
Vergina Beer Can 500ml (box of 24),40,0,VER0011-24,UK Standard Rate,
Vergina Red Beer 330ml,1.7,0,VER0012,UK Standard Rate,S00-30
Vergina Red Beer 330ml(box of 24),39.4,0,VER0012-24,UK Standard Rate,
Vergina Black Beer 330ml,1.94,0,VER0013,UK Standard Rate,S00-30
Vergina Black Beer 330ml (box of 24),44.5,0,VER0013-24,UK Standard Rate,
Natural Mineral Water SELI 1lt,0.95,0,DI003,UK Standard Rate,S00-20
Natural Mineral Water SELI 1lt (box of 12),11.4,0,DI003-12,UK Standard Rate,
Vaeni Entechnos Red Wine 750ml,19,0,VA038,UK Standard Rate,S00-52
Vaeni Syrah Red Wine 750ml,19,0,VA040,UK Standard Rate,S00-52
Vaeni Syrah Red Wine 750ml(box of 6),104,0,VA040-6,UK Standard Rate,
Vaeni Entechnos Red Wine 750ml (box of 6),104,0,VA038-6,UK Standard Rate,
Vaeni Platinum Red Wine 750ml,25,0,VA041,UK Standard Rate,S00-52
Vaeni Platinum Red Wine 750ml (box of 6),140,0,VA041-6,UK Standard Rate,
PAVLIDIS Kiss chocolate bar with strawberry 27.5g  (Box of 25),21.6,10,MOND031-25,UK Standard Rate,
LACTA Milk Chocolate Heart 48g,1.69,0,MOND01,UK Standard Rate,S00-141
LACTA Milk Chocolate Heart 48g (box of 24),38.87,0,MOND01-24,UK Standard Rate,
LACTA Milk Chocolate with Hazelnuts 85g,2.99,0,MOND02,UK Standard Rate,S00-141
LACTA Milk Chocolate with Hazelnuts 85g (box of 14),35.88,0,MOND02-14,UK Standard Rate,
LACTA Chocolate with Peanut & Caramel 90g,2.99,0,MOND03,UK Standard Rate,S00-141
LACTA Chocolate with Peanut & Caramel 90g (box of 24),68.77,0,MOND03-12,UK Standard Rate,
LACTA Big Time Strawberry & Cheesecake 300g,4.99,0,MOND04,UK Standard Rate,S00-141
LACTA Big Time Strawberry & Cheesecake 300g (box of 12),54.89,0,MOND04-12,UK Standard Rate,
LACTA Lila Pause chocolate 100g,2.99,0,MOND05,UK Standard Rate,S00-141
LACTA Lila Pause chocolate 100g (box of 14),62.79,0,MOND05-14,UK Standard Rate,
LACTA Chocolate White 100g,2.99,0,MOND06,UK Standard Rate,S00-141
LACTA Chocolate White 100g (box of 22),62.79,0,MOND06-22,UK Standard Rate,
LACTA Big Time Peanut & Caramel 276g,4.99,0,MOND07,UK Standard Rate,S00-141
LACTA Big Time Peanut & Caramel 276g (box of 12),54.89,0,MOND07-12,UK Standard Rate,
LACTA Big Time Oreo 320g,4.99,0,MOND08,UK Standard Rate,S00-141
LACTA Big Time Oreo 320g (box of 12),54.89,0,MOND08-12,UK Standard Rate,
LACTA Milk Mini Chocolates 350g,9.6,0,MOND09,UK Standard Rate,S00-141
LACTA Milk Mini Chocolates 350g (box of 18),172.8,0,MOND09-18,UK Standard Rate,
LACTA Chocolate Bar Coconut 60g,1.69,0,MOND010,UK Standard Rate,S00-141
LACTA Chocolate Bar Coconut 60g (box of 30),38.87,0,MOND010-30,UK Standard Rate,
Merenda Dark Chocolate 360g,5.45,0,MOND011,UK Standard Rate,S00-141
Merenda Dark Chocolate 360g (box of 12),59.95,0,MOND011-12,UK Standard Rate,
PAVLIDIS Dark chocolate Hazelnuts 100g,2.99,0,MOND012,UK Standard Rate,S00-141
PAVLIDIS Dark chocolate Hazelnuts 100g (box of 14),38.87,0,MOND012-12,UK Standard Rate,
PAVLIDIS Dark chocolate Salt Almonds 100g,2.99,0,MOND013,UK Standard Rate,S00-141
PAVLIDIS Dark chocolate Salt Almonds 100g (box of 14),38.87,0,MOND013-14,UK Standard Rate,
PAVLIDIS Dark chocolate Almonds 100g,2.99,0,MOND014,UK Standard Rate,S00-141
PAVLIDIS Dark chocolate Almonds 100g (box of 14),38.87,0,MOND014-14,UK Standard Rate,
PAVLIDIS Dark chocolate Biscuit 100g,2.99,0,MOND015,UK Standard Rate,S00-141
PAVLIDIS Dark chocolate Biscuit 100g (box of 14),38.87,0,MOND015-14,UK Standard Rate,
PAVLIDIS Dark Chocolate Strawberry 100g,2.99,0,MOND017,UK Standard Rate,S00-141
PAVLIDIS Dark Chocolate Strawberry 100g (box of 13),35.88,0,MOND017-13,UK Standard Rate,
PAVLIDIS Chocolate Cherry 100g,2.99,0,MOND018,UK Standard Rate,S00-141
PAVLIDIS Chocolate Cherry 100g (box of 12),35.88,0,MOND018-12,UK Standard Rate,
PAVLIDIS Chocolate Strawberry 100g,2.99,0,MOND019,UK Standard Rate,S00-141
PAVLIDIS Wafer with Dark Chocolate 34g,0.89,0,MOND020,UK Standard Rate,S00-141
PAVLIDIS Wafer with Dark Chocolate 34g (box of 36),31.15,0,MOND020-36,UK Standard Rate,
PAVLIDIS Mini Dark Chocolates Bag 350g,9.6,0,MOND021,UK Standard Rate,S00-141
PAVLIDIS Mini Dark Chocolates Bag 350g (box of 18),172.8,0,MOND021-18,UK Standard Rate,
PAVLIDIS Mini Dark Chocolates 70% cacao Bag 350g,6.45,0,MOND022,UK Standard Rate,S00-141
PAVLIDIS  Mini Dark Chocolates 70% cacao Bag 350g (box of 18),109.65,0,MOND022-18,UK Standard Rate,
PAVLIDIS Mini Dark Chocolates Orange Bag 350g,5.9,0,MOND023,UK Standard Rate,S00-141
PAVLIDIS Mini Dark Chocolates Orange Bag (box of 18),100.3,0,MOND023-18,UK Standard Rate,
PAVLIDIS  Mini Dark Chocolates Strawberry Bag 350g,5.9,0,MOND024,UK Standard Rate,S00-141
PAVLIDIS 3BIT bar Caramel 65g,1.49,0,MOND025,UK Standard Rate,S00-141
PAVLIDIS 3BIT bar Strawberry 65g,1.79,0,MOND026,UK Standard Rate,S00-141
PAVLIDIS 3BIT bar Caramel 65g (box of 20),28.31,0,MOND025-20,UK Standard Rate,
PAVLIDIS 3BIT bar Strawberry 65g (box of 20),34.01,0,MOND026-20,UK Standard Rate,
PAVLIDIS Dark Chocolate Bar Biscuit & Strawberry 46g,1.79,0,MOND027,UK Standard Rate,S00-141
PAVLIDIS Dark Chocolate Bar Biscuit & Strawberry 46g (box 25),42.96,0,MOND027-25,UK Standard Rate,
PAVLIDIS Dark Chocolate bar Almond 46g,1.79,0,MOND028,UK Standard Rate,S00-141
PAVLIDIS Dark Chocolate bar Almond 46g (box of 25),42.96,0,MOND028-25,UK Standard Rate,
PAVLIDIS Dark Chocolate Lemon 100g,2.99,0,MOND029,UK Standard Rate,S00-141
PAVLIDIS Dark Chocolate Lemon 100g (box of 14),38.87,0,MOND029-14,UK Standard Rate,
LACTA milk chocolate bar 85g  (Box of 14),38.87,21,MOND034-14,UK Standard Rate,
LACTA milk chocolate bar with almonds 85g (box of 14),38.87,21,MOND035-14,UK Standard Rate,
PAVLIDIS Dark chocolate bar 100g (Box of 14),38.87,21,MOND032-14,UK Standard Rate,
LACTA OREO 105g,2.99,0,MOND039,UK Standard Rate,S00-141
LACTA OREO Strawberry Chocolate 105g,2.99,0,MOND037,UK Standard Rate,S00-141
Merenda chocolate and hazelnut spread 1Kg (box of 6),58.9,41.94,MOND033-6,UK Standard Rate,
PAVLIDIS Mini Dark Chocolates Strawberry Bag 350g (box of 18),100.3,0,MOND024-18,UK Standard Rate,
LACTA OREO Sandwich 92g,2.99,0,MOND040,UK Standard Rate,S00-141
LACTA Chocolate Strawberry & Cream 100g,2.99,0,MOND041,UK Standard Rate,S00-141
Easy Bake Mix Melomakarona 500g (box of 10),44.55,0,LOU039-10,UK Standard Rate,
RENT,0,0,R001,UK Standard Rate,
Fuel,0,0,EX001,UK Standard Rate,S00-92
Transport services in UK,0,0,EX004,UK Standard Rate,
ELECTRICITY,0,0,EX005,UK Standard Rate,
LACTA OREO Strawberry 105g (box of 14),38.87,0,MOND037-14,UK Standard Rate,
LACTA OREO 105g (box of 14),38.87,0,MOND039-14,UK Standard Rate,
LACTA OREO Sandwich 92g (box of 16),44.85,0,MOND040-16,UK Standard Rate,
LACTA Chocolate Strawberry & Cream 100g (box of 13),35.88,0,MOND041-13,UK Standard Rate,
LACTA Chocolate Brownie Oreo 105gr (Box of 12),32.89,18,MOND030-12,UK Standard Rate,
Valentine heart cake (Chocolate)130g,3.7,0,PL118,UK Standard Rate,S00-4
Valentine heart cake (Ferrero)130g,3.7,0,PL119,UK Standard Rate,
Valentine heart cake (Strawberry)130g,3.7,0,PL120,UK Standard Rate,S00-4
Valentine heart cake (Red Velvet)130g,3.7,0,PL121,UK Standard Rate,S00-4
PAVLIDIS Chocolate Strawberry 100g (Box of 13),35.88,0,MOND019-13,UK Standard Rate,
Discount Code,0,0,DISCOUNT,UK Standard Rate,
ACCOUNTANT,0,0,ACC001,UK Standard Rate,
Ouzo Chatzopoulos 40% vol.700ml,17.5,0,XATZ001,UK Standard Rate,S00-151
Ouzo Chatzopoulos 40% vol.200ml,7,0,XATZ002,UK Standard Rate,
Ouzo Chatzopoulos 40% 50ml,1.45,0,XATZ003,UK Standard Rate,S00-151
Tsipouro Chatzopoulos without anise 40% vol.500ml,19,0,XATZ004,UK Standard Rate,S00-151
Tsipouro Chatzopoulos without anise 40% vol. 200ml,7.4,0,XATZ005,UK Standard Rate,S00-151
Tsipouro Chatzopoulos without anise 40% vol. 50ml,1.55,0,XATZ006,UK Standard Rate,S00-151
PINDOS Chicken Croquettes 1Kg,9.9,0,PIND008,UK Standard Rate,S00-155
KASSIDIS Chicken Gyros 20Kg,0,0,KAS012,UK Standard Rate,S00-155
Ouzo Chatzopoulos 40% vol.700ml (Box of 12),210,0,XATZ001-12,UK Standard Rate,
Ouzo Chatzopoulos 40% vol.200ml (Box of 24),161,0,XATZ002-12,UK Standard Rate,
Tsipouro Chatzopoulos without anise 40% vol.500ml (Box of 6),110,0,XATZ004-6,UK Standard Rate,
Tsipouro Chatzopoulos without anise 40% vol. 200ml (Box of 24),175,0,XATZ005-24,UK Standard Rate,
ION Chocofreta Stevia with Milk Chocolate 30g,0.55,0,EB057,UK Standard Rate,S00-111
Green Lemon - Lime 330ml,1.3,0,EFB02,UK Standard Rate,
Green Lemon - Lime 330ml (Box of 24),0,0,EFB02-6,UK Standard Rate,
Green Pink Grapefruit 330ml,1.6,0,EFB03,UK Standard Rate,
Green Pink Grapefruit 330ml (Box of 24),0,0,EFB03-24,UK Standard Rate,
Green Lemonade 330ml,1.3,0,EFB04,UK Standard Rate,
Green Lemonade 330ml (Box of 24),0,0,EFB04-24,UK Standard Rate,
Green Sour Cherry 330ml,1.19,0,EFB05,UK Standard Rate,
Green Sour Cherry 330ml (Box of 24),0,0,EFB05-24,UK Standard Rate,
Green Orangeade 330ml,1.3,0,EFB06,UK Standard Rate,
Green Orangeade 330ml (Box of 24),0,0,EFB06-24,UK Standard Rate,
Green Mojito 330ml,1.6,0,EFB07,UK Standard Rate,
Green Mojito 330ml (Box of 24),0,0,EFB07-24,UK Standard Rate,
Termination-02392502120,0,0,YO-001,UK Standard Rate,
Termination-Maintenance,0,0,YO-002,UK Standard Rate,
Termination-Call Bundle,0,0,YO-003,UK Standard Rate,
Termination-Broadband-02393079735,0,0,YO-004,UK Standard Rate,
